TAB,TIMU,DAAN
单选题,高速铁路有砟轨道主要采用（）、弹条V型和FC型三种类型扣件,弹条IV型
单选题,弹条IV型扣件系统由弹条、（）、橡胶垫板和预埋铁座等组成。,绝缘轨距块
单选题,弹条IV型扣件钢轨与绝缘轨距块、绝缘轨距块与预埋铁座间单边间隙之和不应大于（）。,   1mm
单选题,弹条IV型扣件不能进行（）调整，不得垫入调高垫板。,高低
单选题,弹条V型扣件系统由（）、平垫圈、弹条、轨距挡板、轨下垫板和预埋套管等组成。,螺旋道钉
单选题,弹条V型扣件轨下垫板分为两种，即：（）和桥上可能使用的复合垫板。,   橡胶垫板
单选题,弹条V型扣件轨距挡板分（）七种规格，标准轨距时，采用4号和6号。,2号～8号
单选题,弹条V型扣件调高垫板按厚度分为0.5mm、1mm、2mm、（）和8mm五种规格，放置于轨下垫板与轨枕承轨面之间。,   5mm
单选题,弹条V型扣件弹条安装标准：弹条中部前端下颚与钢轨不宜接触，两者间隙不得大于（）。,0.5mm
单选题,弹条V型扣件钢轨与轨距挡板间隙不得大于（）。,   1mm
单选题,弹条V型扣件（）应保证有一定的防护油脂，油脂性能应符合相关规定。,预埋套管中
单选题,FC型扣件钢轨与绝缘轨距块、绝缘轨距块与预埋铁座间单边间隙之和不应大于（）。,   1mm
单选题,FC型扣件高低调整：扣件不能进行（）调整，不得垫入调高垫板。,高低
单选题,高速铁路无砟轨道主要采用（）、WJ-8型、300-1型和SFC型扣件。,   WJ-7型
单选题,WJ-7型扣件按无砟道床形式应为（）扣件。,无挡肩
单选题,WJ-8型扣件按无砟道床形式应为（）扣件。,   有挡肩
单选题,300－1型扣件按无砟道床形式应为（）扣件。,   有挡肩
单选题,SFC型扣件按无砟道床形式应为（）扣件。,无挡肩
单选题,WJ-7型扣件由（）、螺母、平垫圈、弹条、绝缘块、铁垫板、轨下垫板、绝缘缓冲垫板、重型弹簧垫圈、平垫块、锚固螺栓和预埋套管等组成。,T型螺栓
单选题,WJ-7型扣件弹条分为两种，即（）型弹条（直径为14mm）和X2型弹条（直径为13mm），其中桥上采用小阻力扣件时使用X2型弹条。,   W1
单选题,WJ-7型扣件轨下垫板分为A、B两类，每类又分为橡胶垫板和桥上采用小阻力扣件时配套使用的（）。,   复合垫板
单选题,WJ-7型扣件对T型螺栓应进行定期（），防止螺栓锈蚀，油脂性能应符合相关规定。,涂油
单选题,WJ-7型扣件（）中应保证有一定的防护油脂，油脂性能应符合相关规定。,   预埋套管
单选题,WJ-7型扣件安装铁垫板时，轨底坡方向应朝向轨道（）。,内侧
单选题,WJ-7型扣件弹条安装标准：弹条中部前端下颚与绝缘块不宜接触，两者间隙不得大于（）。,0.5mm
单选题,WJ-7型扣件弹条日常保持：弹条中部前端下颚与绝缘块不宜接触，两者间隙不得大于（）。,1mm
单选题,WJ-7型扣件锚固螺栓扭矩为（）N·m。,   300～350
单选题,WJ-7型扣件钢轨与绝缘块、绝缘块与铁垫板挡肩间单边间隙之和不得大于（）。,1mm
单选题,WJ-8型扣件轨距挡板分为两种，即一般地段用轨距挡板和（）轨距挡板。,   夹板处用接头
单选题,WJ-8型扣件铁垫板下弹性垫板分为A、B两类（厚度均为12mm）。A类弹性垫板用于兼顾货运的高速铁路，B类弹性垫板用于（）的高速铁路。,   仅运行动车组
单选题,WJ-8型扣件（）中应保证有一定的防护油脂，油脂性能应符合相关规定。,   预埋套管
单选题,WJ-8型扣件弹条安装标准：弹条中部前端下颚与绝缘轨距块不宜接触，两者间隙不得大于（）。,0.5mm
单选题,WJ-8型扣件日常保持：弹条中部前端下颚与绝缘轨距块不宜接触，两者间隙不得大于（）mm。,1mm
单选题,WJ-8型扣件钢轨与绝缘轨距块、绝缘轨距块与铁垫板挡肩间缝隙之和不得大于（）。,1mm
单选题,300-1型扣件分为300-1a型和300-1u型两种。扣件由（）、绝缘垫片、轨距挡板、螺栓、轨下垫板、铁垫板、弹性垫板和预埋套管等组成，为满足高低调整需要，还包括调高垫板。,弹条
